LOCCODE,PREK_TYPE,BOROUGH,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
K001,DOE,K,P.S. 001 THE BERGEN,,718-567-7661,309 47 STREET,11220,1,125,980985,175780,aramos4@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K001,2,3,2,15K001
K003,DOE,K,P.S. 003 THE BEDFORD VILLAGE,,718-622-2960,50 JEFFERSON AVENUE,11216,1,108,996604,187904,kbeeche@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K003,2,3,2,13K003
K005,DOE,K,P.S. 005 DR. RONALD MCNAIR,,718-574-2333,820 HANCOCK STREET,11233,1,36,1005773,189031,lgates@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K005,2,3,2,16K005
K007,DOE,K,P.S. 007 ABRAHAM LINCOLN,,718-647-3600,858 JAMAICA AVENUE,11208,3,36,1019458,190490,cnoel@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K007,2,7,2,19K007
K009,DOE,K,P.S. 009 TEUNIS G. BERGEN,,718-638-3260,80 UNDERHILL AVENUE,11238,1,90,993700,186368,sdavila@schools.nyc.gov,www.ps9brooklyn.org,2,3,2,13K009
K011,DOE,K,P.S. 011 PURVIS J. BEHAN,,718-638-2661,419 WAVERLY AVENUE,11238,1,54,993685,189033,awright3@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K011,2,3,2,13K011
K012,DOE,K,P.S. 012,,718-953-4569,430 HOWARD AVENUE,11233,1,72,1006488,184472,gthom2@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K012,2,3,2,17K012
K013,DOE,K,P.S. 013 ROBERTO CLEMENTE,,718-498-3717,557 PENNSYLVANIA AVENUE,11207,1,36,1013831,181130,mcameron2@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K013,2,3,2,19K013
K015,DOE,K,P.S. 015 PATRICK F. DALY,,718-330-9280,71 SULLIVAN STREET,11231,1,84,981053,185943,pwyns@schools.nyc.gov,www.ps15patrickfdaly.org,3,3,1,15K015
K016,DOE,K,P.S. 016 LEONARD DUNKLY,,718-782-5352,157 WILSON STREET,11211,1,18,994790,196466,mrenny@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K016,2,3,2,14K016
K017,DOE,K,P.S. 017 HENRY D. WOODWORTH,,718-387-2929,208 NORTH  5 STREET,11211,1,28,996201,199850,rmarchi@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K017,2,3,2,14K017
K018,DOE,K,P.S. 018 EDWARD BUSH,,718-387-3241,101 MAUJER STREET,11206,1,36,998970,198249,aalexan4@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K018,2,3,2,14K018
K020,DOE,K,P.S. 020 CLINTON HILL,,718-834-6744,225 ADELPHI STREET,11205,1,36,992270,190980,lbarbera@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K020,2,3,2,13K020
K021,DOE,K,P.S. 021 CRISPUS ATTUCKS,,718-493-9681,180 CHAUNCEY STREET,11233,1,54,1004755,187212,lfrazie@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K021,2,3,2,16K021
K023,DOE,K,P.S. 023 CARTER C. WOODSON,,718-387-0375,545 WILLOUGHBY AVENUE,11206,1,36,998775,192219,cnapoli@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K023,2,3,2,14K023
K024,DOE,K,P.S. 024,,718-832-9366,427 38 STREET,11232,1,18,982972,177112,rdubits@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K024,3,3,2,15K024
K025,DOE,K,P.S. 025 EUBIE BLAKE SCHOOL,,718-574-2336,787 LAFAYETTE AVENUE,11221,1,36,1000753,191155,acoley2@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K025,3,3,2,16K025
K026,DOE,K,P.S. 026 JESSE OWENS,,718-919-5707,1014 LAFAYETTE AVENUE,11221,1,18,1003289,191351,ccelest@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K026,2,3,2,16K026
K028,DOE,K,P.S. 028 THE WARREN PREP ACADEMY,,718-467-2865,1001 HERKIMER STREET,11233,1,18,1006403,186449,ssilver11@schools.nyc.gov; jjames4@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K028,2,3,2,16K028
K029,DOE,K,P.S. 029 JOHN M. HARRIGAN,,718-330-9277,425 HENRY STREET,11201,1,54,984883,189545,rfagin@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K029,3,3,2,15K029
K031,DOE,K,P.S. 031 SAMUEL F. DUPONT,,718-383-8998,75 MESEROLE AVENUE,11222,1,108,996979,204091,mscarla@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K031,2,1,2,14K031
K032,DOE,K,P.S. 032 SAMUELS MILLS SPROLE,,718-222-6400,317 HOYT STREET,11231,1,30,986550,187189,dflorio@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K032,3,7,2,15K032
