LOCCODE,PREK_TYPE,BOROUGH,DISTRICT,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,AREA_NAME,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE,BUTTON_TYPE
K001,DOE,K,15,P.S. 1 The Bergen,<p><strong> Dual Language</strong>: Spanish</p>,7185677661,309 47th Street,11220,1,Sunset Park West,125,980840,175740,aramos4@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k001,2,3,3,15K001,apply
K003,DOE,K,13,P.S. 3 The Bedford Village,,7186222960,50 Jefferson Avenue,11216,1,Clinton Hill,90,996637,187992,ajohnson33@schools.nyc.gov,www.ps3brooklyn.org,2,3,3,13K003,apply
K005,DOE,K,16,P.S. 5 Dr. Ronald Mcnair,,7185742333,820 Hancock Street,11233,1,Stuyvesant Heights,36,1005754,189103,lgates@schools.nyc.gov,schools.nyc.gov/schoolportals/16/k005,2,3,3,16K005,apply
K007,DOE,K,19,P.S. 7 Abraham Lincoln,,7186473600,858 Jamaica Avenue,11208,1,Cypress Hills-City Line,36,1019432,190572,cnoel@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k007,5,9,2,19K007,apply
K009,DOE,K,13,P.S. 9 Teunis G. Bergen,,7186383260,80 Underhill Avenue,11238,1,Prospect Heights,90,993808,186400,sdavila@schools.nyc.gov,www.ps9brooklyn.org,2,3,3,13K009,apply
K011,DOE,K,13,P.S. 11 Purvis J. Behan,,7186382661,419 Waverly Avenue,11238,1,Clinton Hill,72,993599,189021,ahope@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k011,2,3,2,13K011,apply
K012,DOE,K,17,Dr. Jacqueline Peek-Davis School,,7189534569,430 Howard Avenue,11233,1,Ocean Hill,54,1006554,184505,ndixon3@schools.nyc.gov,schools.nyc.gov/schoolportals/17/k012,2,3,3,17K012,apply
K013,DOE,K,19,P.S. 13 Roberto Clemente,,7184983717,557 Pennsylvania Avenue,11207,1,East New York (Pennsylvania Ave),36,1013726,181088,mcameron2@schools.nyc.gov,schools.nyc.gov/schoolportals/19/k013,2,3,3,19K013,apply
K015,DOE,K,15,P.S. 15 Patrick F. Daly,<p><strong> Dual Language</strong>: Spanish</p>,7183309280,71 Sullivan Street,11231,1,Carroll Gardens-Columbia Street-Red Hook,90,981044,186051,15k015@schools.nyc.gov,www.ps15patrickfdaly.org,3,3,2,15K015,apply
K016,DOE,K,14,P.S. 16 Leonard Dunkly,,7187825352,157 Wilson Street,11211,1,Williamsburg,18,994931,196502,mrenny@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k016,2,3,3,14K016,apply
K017,DOE,K,14,P.S. 17 Henry D. Woodworth,,7183872929,208 North 5 Street,11211,1,North Side-South Side,36,996249,199901,rmarchi@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k017,2,3,3,14K017,apply
K018,DOE,K,14,P.S. 18 Edward Bush,,7183873241,101 Maujer Street,11206,1,East Williamsburg,36,998950,198175,aalexan4@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k018,2,3,3,14K018,apply
K020,DOE,K,13,P.S. 20 Clinton Hill,,7188346744,225 Adelphi Street,11205,1,Fort Greene,54,992188,190942,lbarbera@schools.nyc.gov,schools.nyc.gov/schoolportals/13/k020,2,3,2,13K020,apply
K021,DOE,K,16,P.S. 21 Crispus Attucks,,7184939681,180 Chauncey Street,11233,1,Crown Heights North,54,1004609,187292,lfrazie@schools.nyc.gov,schools.nyc.gov/schoolportals/16/k021,2,3,1,16K021,apply
K023,DOE,K,14,P.S. 23 Carter G. Woodson,,7183870375,545 Willoughby Avenue,11206,1,Bedford,36,998792,192149,cnapoli@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k023,2,3,2,14K023,apply
K024,DOE,K,15,P.S. 24,,7188329366,427 38th Street,11232,1,Sunset Park West,36,982934,177073,rdubits@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k024,3,3,3,15K024,apply
K025,DOE,K,16,P.S. 25 Eubie Blake School,,7185742336,787 Lafayette Avenue,11221,1,Stuyvesant Heights,18,1000517,191045,acoley2@schools.nyc.gov,schools.nyc.gov/schoolportals/16/k025,3,3,3,16K025,apply
K026,DOE,K,16,P.S. 26 Jesse Owens,,7189195707,1014 Lafayette Avenue,11221,1,Stuyvesant Heights,18,1003182,191444,dvann@schools.nyc.gov,schools.nyc.gov/schoolportals/16/k026,2,3,1,16K026,apply
K028,DOE,K,16,P.S. 28 The Warren Prep Academy,,7184672865,1001 Herkimer Street,11233,1,Ocean Hill,18,1006351,186318,jjames4@schools.nyc.gov,schools.nyc.gov/schoolportals/16/k028,2,3,3,16K028,apply
K029,DOE,K,15,P.S. 29 John M. Harrigan,,7183309277,425 Henry Street,11201,1,Carroll Gardens-Columbia Street-Red Hook,54,984788,189551,ps29pc@gmail.com,www.ps29brooklyn.org,3,3,3,15K029,apply
K031,DOE,K,14,P.S. 31 Samuel F. Dupont,,7183838998,75 Meserole Avenue,11222,1,Greenpoint,90,996925,203995,mscarla@schools.nyc.gov,schools.nyc.gov/schoolportals/14/k031,2,1,1,14K031,apply
K032,DOE,K,15,P.S. 32 Samuel Mills Sprole,,7182226400,317 Hoyt Street,11231,1,Carroll Gardens-Columbia Street-Red Hook,36,986483,187181,dwatson5@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k032,3,7,1,15K032,apply
K034,DOE,K,14,P.S. 34 Oliver H. Perry,,7183895842,131 Norman Avenue,11222,1,Greenpoint,36,998206,203831,casselt@schools.nyc.gov,www.ps34.org,2,3,3,14K034,apply
K038,DOE,K,15,P.S. 38 The Pacific,,7183309305,450 Pacific Street,11217,1,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,126,989065,188937,yramire4@schools.nyc.gov,schools.nyc.gov/schoolportals/15/k038,3,3,1,15K038,apply
