LOCCODE,PREK_TYPE,BOROUGH,DISTRICT,NAME,NOTE,PHONE,ADDRESS,ZIP,DAY_LENGTH,AREA_NAME,SEATS,X,Y,EMAIL,WEBSITE,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
K001,DOE,K,15,P.S. 001 The Bergen,,(718) 567-7661,309 47 STREET,11220,1,Sunset Park West,125,980985,175780,aramos4@schools.nyc.gov,schools.nyc.gov/schoolportals/15/K001,2,3,3,15K001
K003,DOE,K,13,P.S. 003 The Bedford Village,,(718) 622-2960,50 JEFFERSON AVENUE,11216,1,Clinton Hill,90,996604,187904,kbeeche@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K003,2,3,3,13K003
K005,DOE,K,16,P.S. 005 Dr. Ronald Mcnair,,(718) 574-2333,820 HANCOCK STREET,11233,1,Stuyvesant Heights,36,1005773,189031,lgates@schools.nyc.gov,schools.nyc.gov/schoolportals/16/K005,2,3,3,16K005
K007,DOE,K,19,P.S. 007 Abraham Lincoln,,(718) 647-3600,858 JAMAICA AVENUE,11208,1,Cypress Hills - City Line,36,1019458,190490,cnoel@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K007,5,9,3,19K007
K009,DOE,K,13,P.S. 009 Teunis G. Bergen,,(718) 638-3260,80 UNDERHILL AVENUE,11238,1,Prospect Heights,90,993700,186368,sdavila@schools.nyc.gov,ps9brooklyn.org,2,3,3,13K009
K011,DOE,K,13,P.S. 011 Purvis J. Behan,,(718) 638-2661,419 WAVERLY AVENUE,11238,1,Clinton Hill,72,993685,189033,awright3@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K011,2,3,3,13K011
K012,DOE,K,17,Dr. Jacqueline Peek-Davis School,,(718) 953-4569,430 HOWARD AVENUE,11233,1,Ocean Hill,72,1006488,184472,gthom2@schools.nyc.gov,schools.nyc.gov/schoolportals/17/K012,2,3,3,17K012
K013,DOE,K,19,P.S. 013 Roberto Clemente,,(718) 498-3717,557 PENNSYLVANIA AVENUE,11207,1,East New York (Pennsylvania Ave),36,1013831,181130,mcameron2@schools.nyc.gov,schools.nyc.gov/schoolportals/19/K013,2,3,3,19K013
K015,DOE,K,15,P.S. 015 Patrick F. Daly,,(718) 330-9280,71 SULLIVAN STREET,11231,1,Carroll Grdns - Columbia - Red Hook,84,981053,185943,pwyns@schools.nyc.gov,ps15patrickfdaly.org,3,3,1,15K015
K016,DOE,K,14,P.S. 016 Leonard Dunkly,,(718) 782-5352,157 WILSON STREET,11211,1,Williamsburg,72,994790,196466,mrenny@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K016,2,3,3,14K016
K017,DOE,K,14,P.S. 017 Henry D. Woodworth,,(718) 387-2929,208 NORTH 5 STREET,11211,1,North Side - South Side,28,996201,199850,rmarchi@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K017,2,3,3,14K017
K018,DOE,K,14,P.S. 018 Edward Bush,,(718) 387-3241,101 MAUJER STREET,11206,1,East Williamsburg,36,998970,198249,aalexan4@schools.nyc.gov,schools.nyc.gov/schoolportals/14/K018,2,3,3,14K018
K020,DOE,K,13,P.S. 020 Clinton Hill,,(718) 834-6744,225 ADELPHI STREET,11205,1,Fort Greene,54,992270,190980,lbarbera@schools.nyc.gov,schools.nyc.gov/schoolportals/13/K020,2,3,3,13K020
