Ps,P.S.
Ms,M.S.
Is,I.S.
Incorporated,Inc.
Inc,Inc.
Corporation,Corp.
Corp,Corp.
Child Care Center,CCC
Early Childhood Center,ECC
Early Learning Center,ELC
Early Childhood Development Center,ECDC
Community Day Care,CDC
Child Development Center,CDC
Childhood Development Center,CDC
Ecc,ECC
Ec,EC
Ecdc,ECDC
Ecec,ECEC
Cdc,CDC
Ccc,CCC
Cclc,CCLC
Cc,CC
Ccs,CSC
Hcc,HCC
Gfdc,GFDC
Elc,ELC
Llc,LLC
Pc,PC
Es,ES
Hdfc,HDFC
Saint,St
St,St.
Ace, A.C.E.
Day Care Center,DCC
Dcc,DCC
Ii,II
Iii,III
Iv,IV
Vi,VI
Vii,VII
Nycha,NYCHA
Abc,ABC
Bmcc,BMCC
Cs,CS
Bcs,BCS
Bca,BCA
Nyc,NYC
Ny,NY
Usa,USA
Upk,UPK
Ymca,YMCA
Ywca,YWCA
Ymja,YMJA
Ywja,YWJA
Ywha,YWHA
Ymha,YMHA
Ym,YM
Yw,YW
Babove,BAbove
5q,5Q
Ucp,UCP
Mt,Mt.
Dr,Dr.
V'yalda,V'Yalda
V' Yalda,V'Yalda
L'ouverture,L'Ouverture
Lssmny,LSSMNY
Lmsw,LMSW
Hchc,HCHC
Ecdo,ECDO
Iccd,ICCD
Association,Assoc.
Jc,JC
Ip,IP
Suny,SUNY
Sco,SCO
Schoo,School
Copo,COPO
Hidec,HIDEC
Kbjp,KBJP
Mcleod,McLeod
O'connor,O'Connor
Yai,YAI
Nyl,NYL
Woc,WOC
Junior,Jr
Jr,Jr.
Senior,Sr
Sr,Sr.
Jch,JCH
Ess,ESS
Ufbco,UFBCO
Si,SI
Ccrp,CCRP
Whedco,WHEDco
Cas,CAS
Po,P.O.
Fort,Ft
Sedgewick,Sedgwick
Pal,PAL
Tlc,TLC
Ft,Ft.
