LOCCODE,X,Y,PREK_TYPE,NAME,NOTE,ADDRESS,BOROUGH,ZIP,PHONE,EMAIL,WEBSITE,DAY_LENGTH,SEATS,MEALS,INDOOR_OUTDOOR,SEMS_CODE,BUTTON_TYPE,START_TIME,EARLY_DROP,LATE_PICKUP,ENHANCED_LANG,FLEX_SCHED,SPED_FLG,INCOME_FLG,SPECIAL_PRIOR
"K001",980985,175780,"DOE","P.S. 1 The Bergen","","309 47th St","K",11220,"718-567-7661","aramos4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k001",1,125,2,3,"15K001","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",109,0,0,0,""
"K003",996604,187904,"DOE","P.S. 3 The Bedford Village","","50 Jefferson Ave","K",11216,"718-622-2960","ajohnson33@schools.nyc.gov","http://ps3brooklyn.org",1,90,2,3,"13K003","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K005",1005773,189031,"DOE","P.S. 5 Dr. Ronald Mcnair","","820 Hancock St","K",11233,"718-574-2333","lgates@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k005",1,36,2,3,"16K005","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K007",1019458,190490,"DOE","P.S. 7 Abraham Lincoln","","858 Jamaica Ave","K",11208,"718-647-3600","cnoel@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k007",1,36,5,9,"19K007","apply","8:00 a.m","No","No",0,0,0,0,""
"K009",993700,186368,"DOE","P.S. 9 Teunis G Bergen","","80 Underhill Ave","K",11238,"718-638-3260","sdavila@schools.nyc.gov","http://ps9brooklyn.org",1,90,2,3,"13K009","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",109,0,0,0,""
"K011",993685,189033,"DOE","P.S. 11 Purvis J Behan","","419 Waverly Ave","K",11238,"718-638-2661","ahope@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k011",1,72,2,3,"13K011","apply","8:00 a.m","No","No",0,0,0,0,""
"K012",1006488,184472,"DOE","Dr. Jacqueline Peek - Davis School","","430 Howard Ave","K",11233,"718-953-4569","ndixon3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k012",1,54,2,3,"17K012","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K013",1013831,181130,"DOE","P.S. 13 Roberto Clemente","","557 Pennsylvania Ave","K",11207,"718-498-3717","mcameron2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k013",1,36,2,3,"19K013","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K015",981053,185943,"DOE","P.S. 15 Patrick F Daly","","71 Sullivan St","K",11231,"718-330-9280","15k015@schools.nyc.gov","http://ps15patrickfdaly.org",1,90,3,3,"15K015","apply","8:15 a.m","No","No",109,0,0,0,""
"K016",994790,196466,"DOE","P.S. 16 Leonard Dunkly","","157 Wilson St","K",11211,"718-782-5352","mrenny@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k016",1,18,2,3,"14K016","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K017",996201,199850,"DOE","P.S. 17 Henry D Woodworth","","208 North 5 St","K",11211,"718-387-2929","rmarchi@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k017",1,36,2,3,"14K017","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K018",998970,198249,"DOE","P.S. 18 Edward Bush","","101 Maujer St","K",11206,"718-387-3241","aalexan4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k018",1,36,2,3,"14K018","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K020",992270,190980,"DOE","P.S. 20 Clinton Hill","","225 Adelphi St","K",11205,"718-834-6744","lbarbera@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k020",1,54,2,3,"13K020","apply","8:15 a.m","No","No",0,0,0,0,""
"K021",1004755,187212,"DOE","P.S. 21 Crispus Attucks","","180 Chauncey St","K",11233,"718-493-9681","lfrazie@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k021",1,54,2,3,"16K021","apply","8:40 a.m","Yes","Yes",0,0,0,0,""
"K023",998775,192219,"DOE","P.S. 23 Carter G Woodson","","545 Willoughby Ave","K",11206,"718-387-0375","cnapoli@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k023",1,36,2,3,"14K023","apply","8:00 a.m","No","No",0,0,0,0,""
"K024",982972,177112,"DOE","P.S. 24","","427 38th St","K",11232,"718-832-9366","rdubits@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k024",1,36,3,3,"15K024","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K025",1000753,191155,"DOE","P.S. 25 Eubie Blake School","","787 Lafayette Ave","K",11221,"718-574-2336","acoley2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k025",1,18,3,3,"16K025","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K026",1003289,191351,"DOE","P.S. 26 Jesse Owens","","1014 Lafayette Ave","K",11221,"718-919-5707","dvann@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k026",1,18,2,3,"16K026","apply","8:30 a.m","Yes","No",0,0,0,0,""
"K028",1006403,186449,"DOE","P.S. 28 The Warren Prep Academy","","1001 Herkimer St","K",11233,"718-467-2865","jjames4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k028",1,18,2,3,"16K028","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K029",984883,189545,"DOE","P.S. 29 John M Harrigan","","425 Henry St","K",11201,"718-330-9277","ps29pc@gmail.com","http://ps29brooklyn.org",1,54,3,3,"15K029","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K031",996979,204091,"DOE","P.S. 31 Samuel F Dupont","","75 Meserole Ave","K",11222,"718-383-8998","mscarla@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k031",1,90,2,1,"14K031","apply","8:00 a.m","Yes","Yes",0,0,0,0,""
"K032",986550,187189,"DOE","P.S. 32 Samuel Mills Sprole","","317 Hoyt St","K",11231,"718-222-6400","dwatson5@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k032",1,36,3,7,"15K032","apply","8:10 a.m","No","Yes",0,0,0,0,""
"K034",998184,203901,"DOE","P.S. 34 Oliver H Perry","","131 Norman Ave","K",11222,"718-389-5842","casselt@schools.nyc.gov","http://ps34.org",1,36,2,3,"14K034","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K038",988968,188868,"DOE","P.S. 38 The Pacific","","450 Pacific St","K",11217,"718-330-9305","yramire4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k038",1,126,3,3,"15K038","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K039",988958,182905,"DOE","P.S. 39 Henry Bristow","","417 6th Ave","K",11215,"718-330-9310","kherskowitz@ps39.org","http://ps39.org",1,18,7,3,"15K039","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K040",1005913,187134,"DOE","P.S. 40 George W Carver","","265 Ralph Ave","K",11233,"718-574-2353","lantoin@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k040",1,36,3,3,"16K040","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K044",1000624,189327,"DOE","P.S. 44 Marcus Garvey","","432 Monroe St","K",11221,"718-834-6939","rjames6@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k044",1,36,2,3,"13K044","apply","8:00 a.m","Yes","No",0,0,0,0,""
"K045",1009081,189447,"DOE","P.S. / I.S. 45 Horace E Greene","","84 Schaefer St","K",11207,"718-642-5360","tlott-davis@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k045",1,54,2,3,"32K045","apply","8:15 a.m","No","No",0,0,0,0,""
"K046",992161,192247,"DOE","P.S. 46 Edward C Blum","","100 Clermont Ave","K",11205,"718-834-7694","knicholson@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k046",1,54,2,3,"13K046","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K048",987776,165729,"DOE","P.S. 48 Mapleton","","6015 18th Ave","K",11204,"718-232-3873","jmagenta@schools.nyc.gov","http://schools.nyc.gov/schoolportals/20/k048",1,18,5,9,"20K048","apply","8:15 a.m","No","No",0,0,0,0,""
"K052",1000858,153397,"DOE","P.S. 52 Sheepshead Bay","","2675 East 29th St","K",11235,"718-648-0882","ralvare4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k052",1,72,3,3,"22K052","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K054",997373,191615,"DOE","P.S. 54 Samuel C Barnes","","195 Sandford St","K",11205,"718-834-6752","apirro2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k054",1,54,2,3,"13K054","apply","8:15 a.m","No","No",0,0,0,0,""
"K056",995211,188782,"DOE","P.S. 56 Lewis H Latimer","","170 Gates Ave","K",11238,"718-857-3149","dclarkj@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k056",1,18,3,3,"13K056","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
"K058",985512,187171,"DOE","P.S. 58 The Carroll","","330 Smith St","K",11231,"718-330-9322","kdellostritto2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k058",1,54,2,3,"15K058","apply","Contact program about start time","Contact program about extended hours","Contact program about extended hours",0,0,0,0,""
